"c_muestra_wineseq","avg_PER","min_PER","max_PER","sd","var","total","mediaan"
"A17A1K",0.0016779144295302,3.3e-05,0.263966,0.0114158837364184,0.000130322401483422,596,0.000163
"A17A1L",0.00186226815642458,3.3e-05,0.343439,0.0152864643329022,0.000233675991801092,537,0.000165
"A17A1M",0.00182808775137112,3.3e-05,0.327924,0.0145143017248523,0.000210664954560051,547,0.000166
"A17A1N",0.00191564942528736,3.2e-05,0.366434,0.016421615221804,0.000269669446492984,522,0.000193
"A17A1O",0.00172715371329879,2.4e-05,0.22197,0.0101634045467807,0.000103294791981522,579,0.000143
"A18A01",0.00191932053742802,9e-06,0.097946,0.00804319316032917,6.4692956214366e-05,521,8.2e-05
"A18A02",0.00157482047244094,6e-06,0.109937,0.00745864077289391,5.56313221790754e-05,635,8.5e-05
"A18A03",0.00165289917355372,8e-06,0.111224,0.00830727827704522,6.90108723722674e-05,605,8.3e-05
"A19A01",0.00161298709677419,2.1e-05,0.146964,0.00672703452488728,4.52529934990254e-05,620,0.000209
"A19A02",0.00240957108433735,6.2e-05,0.064947,0.0058879003203805,3.46673701827368e-05,415,0.000311
"A19A03",0.001666695,1.4e-05,0.114183,0.00593561365356459,3.52315094443824e-05,600,0.00025
"A20A01",0.00146195467836257,5e-06,0.201196,0.00850925169279273,7.24073643712959e-05,684,9e-05
"A20A02",0.00172714853195164,1e-05,0.453156,0.0190008334899693,0.00036103167331354,579,0.000127
"A20A03",0.00162847231270358,1e-05,0.076896,0.00521220085101331,2.71670377113039e-05,614,0.000199
"A21A01",0.00177613676731794,3.9e-05,0.076238,0.00573354102489102,3.28734926841084e-05,563,0.000196
"A21A02",0.00164198357963875,1.3e-05,0.058346,0.00434258770095889,1.88580679405194e-05,609,0.000287
"A21A03",0.00188680943396226,1.3e-05,0.075499,0.00572959783123226,3.28282913076614e-05,530,0.000253
"A22A01",0.00112861963882619,1.2e-05,0.085555,0.00456382711992749,2.08285179805857e-05,886,8.7e-05
"A22A02",0.00119184743742551,1.5e-05,0.088365,0.00476248277647986,2.26812421962673e-05,839,9e-05
"A22A03",0.0011613855981417,1.2e-05,0.105587,0.00509859887273893,2.59957104650947e-05,861,8.7e-05
"A22A04",0.00120196875,1.2e-05,0.114088,0.00542588275085058,2.94402036259778e-05,832,8.9e-05
"A22A05",0.00123458641975309,1.4e-05,0.116188,0.00545536291864295,2.97609845741045e-05,810,9.6e-05
"A24A05",0.00173316291161179,8e-05,0.081768,0.00523311065454566,2.73854471227193e-05,577,0.000318
"A24A06",0.0011248031496063,1.2e-05,0.075111,0.00441890226989588,1.9526697270891e-05,889,8.6e-05
"A24A0C",0.00132979920212766,2.1e-05,0.081494,0.0046269313089551,2.1408493337789e-05,752,0.0001545
"A24A0D",0.00111726592178771,8e-06,0.081028,0.0043798518033818,1.91831018195868e-05,895,8e-05
"A24A0E",0.00106952299465241,9e-06,0.06954,0.00424840058873597,1.80489075623721e-05,935,7e-05
"A24A0I",0.000990119801980198,8e-06,0.071017,0.00393063549265495,1.54498953761189e-05,1010,7e-05
"A24A0J",0.00102360081883316,8e-06,0.072638,0.00403901880588115,1.63136729142616e-05,977,7.6e-05
"A24A0Q",0.00167788087248322,4e-06,0.069883,0.00565672701408113,3.19985605118352e-05,596,0.000187
"A24A0R",0.00103513457556936,7e-06,0.05378,0.00420750189437831,1.7703072191197e-05,966,5.6e-05
"A24A0S",0.0009765576171875,6e-06,0.052745,0.00395972438916192,1.56794172381238e-05,1024,5e-05
"A24A0T",0.00411507407407407,3e-06,0.498129,0.0331828825268071,0.00110110369278788,243,1.7e-05
"A24A12",0.00104812893081761,5e-06,0.062659,0.00385431102406681,1.48557134702429e-05,954,8.2e-05
"A24A13",0.000932867537313433,7e-06,0.053992,0.00347691355037467,1.2088927836779e-05,1072,6.8e-05
"A24A14",0.000908227066303361,7e-06,0.041487,0.00315957263526018,9.98289923748497e-06,1101,8.2e-05
"A24A16",0.00104841823899371,1e-05,0.06476,0.00404431323783298,1.63564695657111e-05,954,6.7e-05
"A24A17",0.00100900807265388,8e-06,0.085199,0.00437330213125597,1.9125771531248e-05,991,6.4e-05
"A24A18",0.00107754849137931,5e-06,0.041057,0.00359552195865125,1.29277781551433e-05,928,7.6e-05
"A24A19",0.00118913317479191,1.4e-05,0.039151,0.00381984501697017,1.45912159536719e-05,841,9.8e-05
"A24A1A",0.000970083414161009,7e-06,0.056958,0.00366088384267245,1.34020705095402e-05,1031,6.5e-05
"A24A1B",0.000970946601941748,6e-06,0.067419,0.00392367947617317,1.53952606317426e-05,1030,5.5e-05
"A24A1E",0.00106623347547974,7e-06,0.077481,0.00449992404416732,2.02493164032752e-05,938,7.8e-05
"A24A1F",0.00106729135538954,7e-06,0.07131,0.00462321690662057,2.13741345656623e-05,937,6.1e-05
"A24A1G",0.00104161666666667,6e-06,0.067299,0.00447865006020405,2.00583063617658e-05,960,6.4e-05
"A24A1H",0.00108566666666667,9e-06,0.101684,0.00507470247496544,2.57526052094203e-05,921,8.2e-05
"A24A1I",0.00108336403033586,6e-06,0.096081,0.00507174984068752,2.57226464465139e-05,923,5.6e-05
"A24A1J",0.00107416219119227,4e-06,0.106089,0.00566026696115255,3.20386220715151e-05,931,4.7e-05
"A24A1K",0.00121950243902439,5e-06,0.112003,0.00591471088358338,3.49838048363797e-05,820,6.1e-05
"A24A1L",0.00143676867816092,5e-06,0.093554,0.00634145351422148,4.02140326730319e-05,696,1e-04
"A24A1M",0.0017984928057554,2.4e-05,0.27581,0.0128203117057418,0.000164360392232381,556,0.000121
"A24A1N",0.000962481231953802,5e-06,0.122678,0.00521825576109788,2.72301931882312e-05,1039,4.2e-05
"A24A1O",0.00138503047091413,6e-06,0.108451,0.00666437062310627,4.44138358021218e-05,722,7.25e-05
"A24A1P",0.001540781201849,2e-05,0.107717,0.00674210108096905,4.54559269860041e-05,649,0.000142
"A24A1Q",0.00105256947368421,4e-06,0.075418,0.00490378659145953,2.40471229345783e-05,950,5.8e-05
"A24A1R",0.000962478344562079,5e-06,0.077528,0.00481376255437735,2.31723099299256e-05,1039,5.2e-05
"A24A1S",0.00107752047413793,7e-06,0.095936,0.00518744807983906,2.6909617581026e-05,928,5e-05
"A24A1T",0.000980420588235294,6e-06,0.044637,0.00373561170376982,1.39547948013421e-05,1020,5.1e-05
"A24A1U",0.00120767028985507,6e-06,0.117041,0.00665590416819819,4.4301060296238e-05,828,4.9e-05
"A24A1V",0.000932907649253731,5e-06,0.079133,0.00454982496209188,2.07009071856744e-05,1072,4.5e-05
"A24A1W",0.0011668203033839,8e-06,0.14165,0.00609928671679343,3.72012984536528e-05,857,7.2e-05
"A24A1X",0.0015948341307815,7e-06,0.118808,0.00689970745719031,4.76059629948076e-05,627,0.000149
"A24A1Y",0.00177617406749556,4e-06,0.276189,0.0142617136766434,0.000203396476994558,563,0.000126
"A24A1Z",0.00104926547743966,6e-06,0.050709,0.00420589173612973,1.76895252960444e-05,953,5.6e-05
"A24A20",0.000938044090056285,5e-06,0.034658,0.00316346656841978,1.00075207295096e-05,1066,7.8e-05
